Model,Strategy,N,Accuracy,Precision,Recall,F1,Mean_Latency_s
Qwen2.5-VL-3B,baseline,500,0.868,0.851145038167939,0.892,0.87109375,0.7383493981361389
Qwen2.5-VL-3B,cause_to_effect,500,0.61,0.5862068965517241,0.748,0.6572934973637962,0.886571795463562
Qwen2.5-VL-3B,effect_to_cause,500,0.756,0.9637681159420289,0.532,0.6855670103092784,0.8243111147880554
Qwen2.5-VL-7B,baseline,500,0.68,0.9787234042553191,0.368,0.5348837209302325,1.419740210056305
Qwen2.5-VL-7B,cause_to_effect,500,0.662,0.6738197424892703,0.628,0.650103519668737,2.8137470541000367
Qwen2.5-VL-7B,effect_to_cause,500,0.682,0.9789473684210527,0.372,0.5391304347826087,3.183031207561493
Idefics3-8B,baseline,500,0.718,0.9658119658119658,0.452,0.6158038147138964,0.4122452139854431
Idefics3-8B,cause_to_effect,495,0.7232323232323232,0.8383233532934131,0.56,0.6714628297362111,1.4272008149310795
Idefics3-8B,effect_to_cause,500,0.702,0.963302752293578,0.42,0.584958217270195,1.5591238117218018
LLaVA-OneVision-7B,baseline,500,0.698,0.9900990099009901,0.4,0.5698005698005698,1.1806773447990417
LLaVA-OneVision-7B,cause_to_effect,497,0.6317907444668008,0.9848484848484849,0.2631578947368421,0.41533546325878595,2.187705965828848
LLaVA-OneVision-7B,effect_to_cause,500,0.802,0.9870967741935484,0.612,0.7555555555555555,2.7665110549926757
BLIP2-OPT-2.7B,baseline,500,0.5,0.0,0.0,0.0,0.05362495183944698
BLIP2-OPT-2.7B,cause_to_effect,500,0.5,0.0,0.0,0.0,0.026373477935790965
BLIP2-OPT-2.7B,effect_to_cause,500,0.5,0.5,1.0,0.6666666666666666,0.04929861021041866
