Model,Strategy,N,Accuracy,Precision,Recall,F1,Mean_Latency_s,GPU,Runtime_minutes
Qwen2.5-VL-3B,baseline,500,0.868,0.851145038,0.892,0.87109375,0.738349398,NVIDIA RTX PRO 6000 Blackwell 96GB,25.65
Qwen2.5-VL-3B,cause_to_effect,500,0.61,0.586206897,0.748,0.657293497,0.886571795,NVIDIA RTX PRO 6000 Blackwell 96GB,25.65
Qwen2.5-VL-3B,effect_to_cause,500,0.756,0.963768116,0.532,0.68556701,0.824311115,NVIDIA RTX PRO 6000 Blackwell 96GB,25.65
Qwen2.5-VL-7B,baseline,500,0.68,0.978723404,0.368,0.534883721,1.41974021,NVIDIA RTX PRO 6000 Blackwell 96GB,67.03
Qwen2.5-VL-7B,cause_to_effect,500,0.662,0.673819742,0.628,0.65010352,2.813747054,NVIDIA RTX PRO 6000 Blackwell 96GB,67.03
Qwen2.5-VL-7B,effect_to_cause,500,0.682,0.978947368,0.372,0.539130435,3.183031208,NVIDIA RTX PRO 6000 Blackwell 96GB,67.03
Idefics3-8B,baseline,500,0.718,0.965811966,0.452,0.615803815,0.412245214,NVIDIA RTX PRO 6000 Blackwell 96GB,35.52
Idefics3-8B,cause_to_effect,495,0.723232323,0.838323353,0.56,0.67146283,1.427200815,NVIDIA RTX PRO 6000 Blackwell 96GB,35.52
Idefics3-8B,effect_to_cause,500,0.702,0.963302752,0.42,0.584958217,1.559123812,NVIDIA RTX PRO 6000 Blackwell 96GB,35.52
LLaVA-OneVision-7B,baseline,500,0.698,0.99009901,0.4,0.56980057,1.180677345,NVIDIA RTX PRO 6000 Blackwell 96GB,62.37
LLaVA-OneVision-7B,cause_to_effect,497,0.631790744,0.984848485,0.263157895,0.415335463,2.187705966,NVIDIA RTX PRO 6000 Blackwell 96GB,62.37
LLaVA-OneVision-7B,effect_to_cause,500,0.802,0.987096774,0.612,0.755555556,2.766511055,NVIDIA RTX PRO 6000 Blackwell 96GB,62.37
BLIP2-OPT-2.7B,baseline,500,0.5,0,0,0,0.053624952,NVIDIA RTX PRO 6000 Blackwell 96GB,5.4
BLIP2-OPT-2.7B,cause_to_effect,500,0.5,0,0,0,0.026373478,NVIDIA RTX PRO 6000 Blackwell 96GB,5.4
BLIP2-OPT-2.7B,effect_to_cause,500,0.5,0.5,1,0.666666667,0.04929861,NVIDIA RTX PRO 6000 Blackwell 96GB,5.4
