Model,Strategy,N,Accuracy,Precision,Recall,F1,MCC,TN,FP,FN,TP
BLIP2-OPT-2.7B,baseline,500,0.5,0.0,0.0,0.0,0.0,250,0,250,0
BLIP2-OPT-2.7B,cause_to_effect,500,0.5,0.0,0.0,0.0,0.0,250,0,250,0
BLIP2-OPT-2.7B,effect_to_cause,500,0.5,0.5,1.0,0.6666666666666666,0.0,0,250,0,250
Idefics3-8B,baseline,500,0.718,0.9658119658119658,0.452,0.6158038147138964,0.5149133835422577,246,4,137,113
Idefics3-8B,cause_to_effect,495,0.7232323232323232,0.8383233532934131,0.56,0.6714628297362111,0.47563455556552436,218,27,110,140
Idefics3-8B,effect_to_cause,500,0.702,0.963302752293578,0.42,0.584958217270195,0.48923750884370854,246,4,145,105
LLaVA-OneVision-7B,baseline,500,0.698,0.9900990099009901,0.4,0.5698005698005698,0.4931602452242722,249,1,150,100
LLaVA-OneVision-7B,cause_to_effect,497,0.6317907444668008,0.9848484848484849,0.2631578947368421,0.41533546325878595,0.38183199924531236,249,1,182,65
LLaVA-OneVision-7B,effect_to_cause,500,0.802,0.9870967741935484,0.612,0.7555555555555555,0.6529825125972599,248,2,97,153
Qwen2.5-VL-3B,baseline,500,0.868,0.851145038167939,0.892,0.87109375,0.7368493399415347,211,39,27,223
Qwen2.5-VL-3B,cause_to_effect,500,0.61,0.5862068965517241,0.748,0.6572934973637962,0.22889065425661265,118,132,63,187
Qwen2.5-VL-3B,effect_to_cause,500,0.756,0.9637681159420289,0.532,0.6855670103092784,0.5726854392935911,245,5,117,133
Qwen2.5-VL-7B,baseline,500,0.68,0.9787234042553191,0.368,0.5348837209302325,0.46069719270300225,248,2,158,92
Qwen2.5-VL-7B,cause_to_effect,500,0.662,0.6738197424892703,0.628,0.650103519668737,0.3247516958881877,174,76,93,157
Qwen2.5-VL-7B,effect_to_cause,500,0.682,0.9789473684210527,0.372,0.5391304347826087,0.46392959516046933,248,2,157,93
